ID ECAO	Anatomical Structure	Type (is-a)	Part of	Develops from	Starts at stage	Ends at stage	Description	Synonyms	UBERON type	UBERON (non-exact)	Cell type (is-a)	Cell type (non-exact)	Pubmed id	Comments	XAO Type	Pliv comments	GeneOntology type	URCH specific	hasNoOnto	Taxon	Pubmed references	Reference	Time for P. lividus at 18°C	stage preceded by
ECAO:0000100	spermatogenesis period		gametogenesis				Period during which male gametes (or spermatozoa, or spermatozoid) develop and mature from primordial male germ cells to generate cells competent to further development upon fertilization of a mature oocyte.																0:00:00	
ECAO:0000110	developing spermatozoa stage		spermatogenesis period				A developing, immature male gamete undergoing mitosis and meiosis to ultimately produce mature spermatozoa.	spermatid													Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69–81.		0:00:00	
ECAO:0000120	mature spermatozoid stage		spermatogenesis period				A mature male gamete that is composed of a head, encompassing a compact nucleus, a neck, a middle piece, and a tail (or flagellum) that propels it towards the oocyte upon spawning.	sperm, spermatozoa													Spirlet, C., Grosjean, P. and Jangoux, M. (1998). Reproductive cycle of the echinoid Paracentrotus lividus: analysis by means of the maturity index. Invertebrate Reproduction & Development 34, 69–81.		0:00:00	developing spermatozoa stage
ECAO:0000130	embryogenesis	UBERON:0000105	life cycle period				Biological process during which the embryo forms. This process starts with the fertilization of a mature oocyte by a mature spermatozoid. It is characterized by a succession of rapid mitotic divisions with no significant growth, but with axis establishment and cellular differentiation, thereby leading to the development of a multicellular embryo.																0:00:00	gametogenesis
ECAO:0000140	1-cell stage		embryogenesis				A fertilized egg, right after fertilization. The embryo is characterized morphologically by the fact that it is a single diploid cell surrounded by a fertilization envelope. This stage corresponds to an embryo of age 0 hour post-fertilization.	zygote stage, fertilized egg	UBERON_0000106												Formery et al., (in prep)  Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.  Sardet, C. and Chang, P. (1985). A marker of animal-vegetal polarity in the egg of the sea urchin Paracentrotus lividus. Experimental Cell Research 160, 73–82  Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		0:00:00	
ECAO:0000150	cleavage period		embryogenesis				Period during which the fertilized egg undergoes a succession of rapid cell divisions with no significant growth.		UBERON_0000107															1-cell stage
ECAO:0000160	2-cell stage		cleavage period				An embryo that is composed of two cells and is surrounded by a fertilization envelope. The first cleavage plane took place meridionally (i.e. along the animal-vegetal axis), thereby generating two blastomeres of equal size, each containing both animal and vegetal cytoplasm. 	2c	UBERON_0007232												Formery et al., (in prep)  Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.  Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		1:40:00	1-cell stage
ECAO:0000170	4-cell stage		cleavage period				An embryo that is composed of four cells and is surrounded by a fertilization envelope. The second cleavage plane was meridional and perpendicular to the first one, thereby producing four blastomeres of equal size, each containing both animal and vegetal cytoplasm. 	4c	UBERON_0007233												Formery et al., (in prep)  Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.  Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		2:30:00	2-cell stage
ECAO:0000180	8-cell stage		cleavage period				An embryo that is composed of eight cells and is surrounded by a fertilization envelope. The third cleavage took place perpendicular to the first two cleavage planes and was equatorial. It thus generated an animal and a vegetal hemisphere each composed of a quartet of four cells of equal volume.	8c	UBERON_0007236												Formery et al., (in prep)  Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.  Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		3:20:00	4-cell stage
ECAO:0000190	16-cell stage		cleavage period				An embryo that is composed of 16 cells and is surrounded by a fertilization envelope.  Note for euechinoid indirect developers: although the fourth cleavage occurred simultaneously in all cells, the pattern of cell division differed in the animal and vegetal blastomeres. In the animal hemisphere the four cells divided meridionally, producing eight blastomeres of equal volume arrayed in a single tier. These cells are called the mesomeres. In the vegetal hemisphere, the four cells underwent an unequal, equatorial cleavage, producing a tier of four large cells, the macromeres, and a tier of four small cells, the micromeres, located at the vegetal pole. At the 16-cell stage, the embryo is hence composed of three groups of cells with distinct sizes. In most sea urchin species,this is the first morphological indication of the animal-vegetal axis. 	16c													Formery et al., (in prep)  Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.  Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		4:10:00	8-cell stage
ECAO:0000200	28-cell stage		cleavage period				An embryo that is composed of 28 cells and is surrounded by a fertilization envelope.  Note for euechinoid indirect developers: In most sea urchin species, the fifth cleavage signed the end of cell division synchrony, with the mesomeres and macromeres dividing prior to the micromeres with a significant time difference. In the animal hemisphere, the mesomeres underwent an equal and equatorial cleavage, giving rise to two animal cell tiers, each composed of eight blastomeres of equal size: the an1 tier located at the animal pole and the an2 tier located below an1. In parallel, the macromeres divided meridionally, forming a ring of eight cells of equal volume located below the an2 tier. At that stage, the micromeres have not yet divided and are still at a number of four cells.	28c													Formery et al., (in prep)  Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.  Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		4:45:00	16-cell stage
ECAO:0000210	32-cell stage		cleavage period				An embryo that is composed of 32 cells and is surrounded by a fertilization envelope. Note for euechinoid indirect developers: The micromeres have undergone a fifth cleavage (and this has occurred prior to a subsequent division of the other cells). This cleavage was unequal and equatorial, thereby producing four large micromeres and four small micromeres, the smallest cells still marking the vegetal pole.	32c													Formery et al., (in prep)  Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.  Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		5:00:00	28-cell stage
ECAO:0000220	56-cell stage		cleavage period				An embryo that is composed of 56 cells and is surrounded by a fertilization envelope. Note for euechinoid indirect developers: In the animal hemisphere, cells of the an1 and an2 tiers underwent an additional meridional division, producing tiers composed of 16 cells. The macromeres divided equatorially and equally, generating two vegetal cell tiers, each composed of 8 cells of equal volume, namely the veg1 tier (located below an2) and the veg2 tier (located below veg1 and above the large micromeres). At that stage, the large and small micromeres (4 cells each) have not undergone yet a sixth division.	56c													Formery et al., (in prep)  Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.  Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		5:30:00	32-cell stage
ECAO:0000230	60-cell stage		cleavage period				An embryo that is composed of 60 cells and is surrounded by a fertilization envelope. Note for euechinoid indirect developers: The large micromeres have achieved a sixth cleavage, which was meridional, thereby generating a ring of 8 cells. At that stage, from the animal to the vegetal pole, the embryo is composed of: 16 an1-cells, 16 an2-cells, 8 veg1-cells, 8 veg2-cells, 8 large micromeres and 4 small micromeres. 	60c													Formery et al., (in prep)  Logan, C. Y. and McClay, D. R. (1999). Lineages That Give Rise to Endoderm and Mesoderm in the Sea Urchin Embryo. In Cell Lineage and Fate Determination (ed. Moody, S. A.), pp. 41–57. San Diego: Academic Press.  Duboc, V., Rottinger, E., Besnardeau, L. and Lepage, T. (2004). Nodal and BMP2/4 signaling organizes the oral-aboral axis of the sea urchin embryo. Dev Cell 6, 397–410.  Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.  Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		5:50:00	56-cell stage
ECAO:0000240	blastula period		embryogenesis				Period during which the embryo is transformed into a hollow sphere that is one cell layer thick and encompasses a central, fluid-filled cavity called the blastocoel. During this period, every cell of the embryo is in contact on the inside with the blastocoel and on the outside with the hyaline layer.		UBERON_0000307															cleavage period
ECAO:0000250	very early blastula stage		blastula period				The embryo is composed of 110-120 cells, as most blastomeres have completed an additional mitotic division after the 60-cell stage. The embryo is surrounded by a fertilization envelope. All cells are about the same size and there are no obvious morphological indications of embryonic polarity or embryonic territories. All cells have begun to acquire apico-basal polarity, and the embryo is beginning to transform into a hollow sphere with a wall that is one cell layer thick and a fluid-filled cavity (the blastocoel) in the center.  Note for euechinoid indirect developers: the micromere progeny divide more slowly than other cells of the embryo. Molecular labelling typically indicates the presence of 8 large micromere descendants and 4 small micromeres at this stage .	vEB, B1, 120-cell stage													Formery et al., (in prep)  Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.  Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		6:50:00	60-cell stage
ECAO:0000260	early blastula stage		blastula period				The embryo is composed of slightly more than 200 cells, as most blastomeres have completed an additional mitotic division after the very early blastula stage.  The embryo is surrounded by a fertilization envelope. The embryo remains spherical and one cell layer thick, and the blastocoel has expanded slightly since the very early blastula stage, without increasing though the size of the embryo. The synchrony of  cell divisions between animal and vegetal cell tiers, as well as within cell tiers, is becoming less pronounced.  Note for euechinoid indirect developers: Molecular labeling typically indicates the presence of 16 large micromere descendants and 4 small micromeres at this stage .	EB, B2													Croce, J., Lhomond, G., Lozano, J. C. and Gache, C. (2001). ske-T, a T-box gene expressed in the skeletogenic mesenchyme lineage of the sea urchin embryo. Mech. Dev. 107, 159–162.  Formery et al., (in prep)  Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.  Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		7:50:00	very early blastula stage
ECAO:0000270	mid-blastula stage		blastula period				The embryo is composed of about 300 cells and is surrounded by a fertilization envelope. Cell divisions are less synchronous than at earlier stages. The cells have  flattened slightly  on their inner (basal) surface, further contributing to the enlargement of the blastocoel. In some species, cells have started to form cilia on their outer surface. The embryo is still  spherical and does not display any obvious morphological landmarks that indicate the primary or secondary embryonic axes. Note for euechinoid indirect developers: molecular labeling typically indicates the presence of 16 to 32 large micromere descendant cells and 4 to 8 small micromere descendants at this stage . 	mid-B, midB, B3													Formery et al., (in prep)  Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.  Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		8:50:00	early blastula stage
ECAO:0000280	late blastula stage		blastula period				The embryo is composed of about 400 cells and is surrounded by a fertilization envelope. The embryo is still spherical but the wall is thinner and smoother than at previous stages. The vegetal plate has not formed. Many cells are ciliated, and in some species (e.g. P. lividus) the embryo has begun to rotate within the fertilization envelope, while in others (e.g. S. purpuratus) it is still non-motile.   Note for euechinoid indirect developers: molecular labeling typically indicates the presence of 32 large micromere descendants and 4 to 8 small micromere descendants at this stage .	Late-B, LB, prehatched blastula, pre-HB, B4													Formery et al., (in prep)  Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.  Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		9:50:00	mid-blastula stage
ECAO:0000290	hatched blastula stage		blastula period				The embryo is composed of about 800 cells and is surrounded by a fertilization envelope. The fertilization envelope has started to break down due to the secretion by ectodermal cells of the hatching enzyme, a metalloprotease that digests the fertilization envelope and frees the embryo. The vegetal plate has not formed. The embryo rotates within the envelope or swims away as soon as it is free. At the animal pole, a tuft of long and immotile cilia has started growing.	HB, B5, very late blastula stage												NCBITaxon:7656	Formery et al., (in prep)  Masuda M. (1979). Species specific pattern of ciliogenesis in developing sea urchin embryos. Dev. Growth Differ. 21, 545-552.  Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.  Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		11:00:00	late blastula stage
ECAO:0000300	swimming blastula stage		blastula period				The embryo has hatched from the fertilization envelope and swims freely. It is still a hollow sphere that is one cell layer thick, but the cells constituting the vegetal plate (i.e. located at the vegetal pole) have started thickening along the apico-basal axis, thereby creating a morphological landmark that enables orienting the embryo along the animal-vegetal axis. In addition, at the animal pole, the apical tuft composed of long and immotile cilia has continued expending.	SB												NCBITaxon:7656	Formery et al., (in prep)  Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.  Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		12:00:00	hatched blastula stage
ECAO:0000310	late swimming blastula stage		blastula period				The embryo has started elongated along the animal-vegetal axis. Its vegetal region has further continued to thicken and it is marked by a characteristic 'V' shape formed by the blastocoel at the level of the cells constituting the vegetal plate, thereby pointing to the vegetal pole. At the animal pole, the embryo is characterized by the presence of an apical tuft.  	late-SB												NCBITaxon:7656	Formery et al., (in prep)  Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.  Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		13:00:00	swimming blastula stage
ECAO:0000320	gastrula period		embryogenesis				Period during which complex and coordinated cellular movements take place and ultimately generate a three-layered embryo with inner tissues. A portion of cells will ingress, invaginate and/or migrate within the embryo and form the two inner layers (i.e. the endoderm and the mesoderm). The cells that remained outside will instead spread over the whole surface of the embryo and form the outer layer (i.e. the ectoderm).		UBERON_0000109															blastula period
ECAO:0000330	mesenchyme blastula phase		gastrula period				The phase during which skeletogenic primary mesenchyme cells (PMCs) move from the vegetal plate into the blastocoel (ingress) but before the vegetal plate has started to invaginate.																	blastula period
ECAO:0000340	early mesenchyme blastula stage		mesenchyme blastula phase				The vegetal plate is apparent and skeletogenic primary mesenchyme cells (PMCs) are in the process of ingression, a type of epithelial–mesenchymal transition (EMT). The epithelial wall of the embryo has thickened at the animal pole, where a tuft of long, non-motile cilia has formed.	eMB													Formery et al., (in prep)  Kominami, T. and Takata, H. (2004). Gastrulation in the sea urchin embryo: a model system for analyzing the morphogenesis of a monolayered epithelium. Dev Growth Differ 46, 309–26.  Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.  Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		14:00:00	blastula period
ECAO:0000350	mid-mesenchyme blastula stage		mesenchyme blastula phase				All skeletogenic primary mesenchyme cells (PMCs) have ingressed into the blastocoel, leaving behind a reformed vegetal plate containing at its center the 8 small micromere descendants surrounded by non-skeletogenic mesoderm cells. The PMCs are organized in a mound on the vegetal plate but have not begun to disperse. The thickened apical pole domain with its tuft of long, non-motile cilia is still apparent.	mid-MB													Formery et al., (in prep)  Kominami, T. and Takata, H. (2004). Gastrulation in the sea urchin embryo: a model system for analyzing the morphogenesis of a monolayered epithelium. Dev Growth Differ 46, 309–26.  Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.  Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		15:00:00	early mesenchyme blastula stage
ECAO:0000360	late mesenchyme blastula stage		mesenchyme blastula phase				The skeletogenic primary mesenchyme cells (PMCs) have migrated away from the vegetal plate by extending filopodia and moving along the blastocoel wall. The vegetal plate has flattened but has not started to invaginate. The apical pole domain still bears an apical tuft of long, non-motile cilia. 																	mid-mesenchyme blastula stage
ECAO:0000370	invagination phase		gastrula period				Period during which the inpocketing and elongation of the archenteron takes place.																	mesenchyme blastula phase
ECAO:0000380	blastopore formation stage		invagination phase				The embryo is  characterized morphologically by a slight invagination of the vegetal plate and the dispersal of the skeletogenic primary  mesenchyme cells (PMCs) along the blastocoel wall at the periphery of the invaginating region. The PMCs are just beginning to adopt a characteristic, ring-like arrangement near the equator of the embryo. Within the vegetal plate, the peripheral non-skeletogenic mesoderm cells have started to indent, undergoing important cell shape changes, but the center of the vegetal plate (composed of small micromeres) has not started to elevate. Invagination has generated the blastopore (an opening that will give rise to the larval anus) as well as the anterior portion of the archenteron (a region that will give rise to the coelomic pouches). At the animal pole, the apical pole domain is still marked by an enlarged epithelium bearing long and immotile cilia.	blasto-G, blastopore gastrula stage													Formery et al., (in prep)  Kominami, T. and Takata, H. (2004). Gastrulation in the sea urchin embryo: a model system for analyzing the morphogenesis of a monolayered epithelium. Dev Growth Differ 46, 309–26.  Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.  Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.  Wessel, G. M. and Wikramanayake, A. (1999). How to grow a gut: ontogeny of the endoderm in the sea urchin embryo. BioEssays 21, 459–471.		18:00:00	late mesenchyme blastula stage
ECAO:0000390	early gastrula stage		invagination phase				The embryo is mainly characterized morphologically by the presence in the blastocoel of a small archenteron (i.e. primitive digestive tract) that is about a third of its finally size. Following the initial invagination of the vegetal plate, the archenteron has slightly been extended, within the blastocoel, by the subsequent invagination of additional non-skeletogenic mesoderm cells and of some endoderm cells. In parallel, the skeletogenic mesenchyme cells (or SM cells, primary mesenchyme cells or PMC) have by now started migrating along the blastocoel wall, towards the animal pole, thereby creating two lateral chains (one left and one right), while around the developing archenteron, they have gathered into two ventrolateral clusters separated by an oral (or ventral) and an aboral (or dorsal) chain defined by the remaining skeletogenic mesenchyme cells. Within the oral and aboral skeletogenic mesenchyme chains, the cells have further started to fuse to form syncytial filopodial cables within which skeletal calcification will subsequently take place. At the animal pole, the animal neuroectoderm territory is still marked by an enlarged epithelium bearing long and immotile cilia.  	eG, EG													Formery et al., (in prep)  Kominami, T. and Takata, H. (2004). Gastrulation in the sea urchin embryo: a model system for analyzing the morphogenesis of a monolayered epithelium. Dev Growth Differ 46, 309–26.  Okazaki, K. (1975). Normal Development to Metamorphosis. In The Sea Urchin Embryo: Biochemistry and Morphogenesis (ed. Czihak, G.), pp. 177–232. Berlin, Heidelberg: Springer Berlin Heidelberg.  Vellutini, B. C. and Migotto, A. E. (2010). Embryonic, Larval, and Juvenile Development of the Sea Biscuit Clypeaster subdepressus (Echinodermata: Clypeasteroida). PLoS One 5, e9654.		20:00:00	blastopore formation stage
